AP_Preseason_Rank,Team_Name,season,TeamID
1,Duke,2017,faeb1160-5d15-4f26-99fc-c441cf21fc7f
2,Kentucky,2017,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1
3,Kansas,2017,fae4855b-1b64-4b40-a632-9ed345e1e952
4,Villanova,2017,4383eb6a-7fd8-4ff2-94c5-43c933121e88
5,Oregon,2017,1da70895-f77f-44ef-b216-d63c02e696eb
6,North Carolina,2017,e9ca48b2-00ba-41c0-a02b-6885a2da1ff1
7,Xavier,2017,0d8a328f-20ce-410b-bed1-15fc01308aaf
8,Virginia,2017,56913910-87f7-4ad7-ae3b-5cd9fb218fd9
9,Wisconsin,2017,c7569eae-5b93-4197-b204-6f3a62146b25
10,Arizona,2017,9b166a3f-e64b-4825-bb6b-92c6f0418263
11,Indiana,2017,c3f0a8ce-af67-497f-a750-3b859376b20a
12,Michigan State,2017,a41d5a05-4c11-4171-a57e-e7a1ea325a6d
13,Louisville,2017,b795ddbc-baab-4499-8803-52e8608520ab
14,Gonzaga,2017,2f4d21f8-6d5f-48a5-abca-52a30583871a
15,Purdue,2017,12d7f888-675b-459f-9099-a38f771d8a95
16,UCLA,2017,ec0d6b67-4b16-4b50-92b2-1a651dae6b0f
17,Saint Mary's,2017,b18f34af-a7f1-4659-a2e5-fc11a31cd316
18,Uconn,2017,efba5350-79bc-47aa-a189-db177b95b491
19,Syracuse,2017,8cd24de1-2be8-4b77-bcfa-47be0495a5f4
20,West Virginia,2017,f770d3a2-221c-49ce-9c7a-680f7417fe9e
21,Texas,2017,6ed15092-2670-450a-99c2-61d861e87644
22,Creighton,2017,7d797407-623e-476d-b299-46de4275414d
23,Rhode Island,2017,7e42bca2-3cd7-4aca-aa46-f190fe5d8eb4
24,Iowa State,2017,0e4258fa-3154-4c16-b693-adecab184c6c
25,Maryland,2017,2778d005-cc14-4e58-9bf2-3fc37bffb62f
1,North Carolina,2016,e9ca48b2-00ba-41c0-a02b-6885a2da1ff1
2,Kentucky,2016,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1
3,Maryland,2016,2778d005-cc14-4e58-9bf2-3fc37bffb62f
4,Kansas,2016,fae4855b-1b64-4b40-a632-9ed345e1e952
5,Duke,2016,faeb1160-5d15-4f26-99fc-c441cf21fc7f
6,Virginia,2016,56913910-87f7-4ad7-ae3b-5cd9fb218fd9
7,Iowa State,2016,0e4258fa-3154-4c16-b693-adecab184c6c
8,Oklahoma,2016,b2fda957-e15c-4fb2-8a13-6e58496f561e
9,Gonzaga,2016,2f4d21f8-6d5f-48a5-abca-52a30583871a
10,Wichita State,2016,f38b58de-3273-4723-a78b-2f918e9aa2d5
11,Villanova,2016,4383eb6a-7fd8-4ff2-94c5-43c933121e88
12,Arizona,2016,9b166a3f-e64b-4825-bb6b-92c6f0418263
